track_id,track_name,artist_name,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,popularity,streams,position,P,S,combined,sum_val
2BVVmJQZv4fOPWavI9mkIj,Broken Arrows,Avicii,0.3913537928945779,0.0487,0.634,0.674,0.00116,0.102,0.7003070624360286,0.0465,0.4094342302329184,0.298,7.0,1.0,0.0,27128.0,111.0,2,3,23,5.0
2Bb9MjP3gY9oaUXXJLFDVi,Ours,Ben&Ben,0.2888440501667747,0.29,0.693,0.4970000000000001,8.34e-06,0.1,0.6126509723643807,0.051,0.3644192532148944,0.0892,0.0,1.0,55.0,45728.0,65.0,1,1,11,2.0
2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,December Avenue,0.4615515757846833,0.161,0.502,0.48200000000000004,0.0,0.187,0.7989355168884338,0.0288,0.5249832154108351,0.132,4.0,1.0,69.0,121835.5,17.0,1,1,11,2.0
2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,0.299544503657409,0.0372,0.6970000000000001,0.6829999999999999,0.0,0.13699999999999998,0.8748822927328556,0.11699999999999999,0.2812128802355007,0.603,1.0,0.0,82.0,58716.5,56.0,1,1,11,2.0
2Bs4jQEGMycglOfWPBqrVG,Steal My Girl,One Direction,0.382073380841876,0.00433,0.536,0.768,0.0,0.114,0.7493142272262026,0.0347,0.15909853844962035,0.545,10.0,0.0,79.0,39016.5,126.5,2,2,22,4.0
2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),Mike Perry,0.2923801138038859,0.0225,0.632,0.575,1.81e-06,0.10400000000000001,0.7276151484135107,0.028999999999999998,0.2418594742550225,0.188,5.0,1.0,73.0,15669.0,193.0,4,4,44,8.0
2CTN6UuO2dNEVZXR0DJVk2,Only Want You,Rita Ora,0.2870569641198852,0.0599,0.654,0.528,7.140000000000001e-05,0.0975,0.7380143295803478,0.0412,0.1900661054588648,0.376,6.0,0.0,64.0,23924.0,157.0,3,4,34,7.0
2CWnuF7ht55Ajyeg4WPvWu,DDU-DU DDU-DU - KR Ver.,BLACKPINK,0.34441019140473794,0.0322,0.665,0.86,0.0,0.281,0.8323029682702148,0.0761,0.5642268760006195,0.3720000000000001,4.0,0.0,57.0,41965.0,67.0,1,1,11,2.0
2CvOqDpQIMw69cCzWqr5yr,Halo,Beyonc̩,0.4481654789531005,0.273,0.42200000000000004,0.7120000000000001,0.0,0.051,0.7509928352098258,0.1,0.16708412952538335,0.47100000000000003,11.0,0.0,73.0,26847.0,169.0,4,3,43,7.0
2D0dj3hVkRQJCp63cxCPEx,Stunnin' (feat. Harm Franklin),Curtis Waters,0.21332712900916007,0.33,0.885,0.685,0.0,0.14800000000000002,0.7296212896622313,0.0627,0.3058797706966894,0.937,11.0,0.0,88.0,23770.0,197.0,4,4,44,8.0
2DQ1ITjI0YoLFzuADN1ZBW,No Limit,G-Eazy,0.4166778652043717,0.0117,0.838,0.7709999999999999,0.0,0.0853,0.837625383828045,0.244,0.7965255900428652,0.405,1.0,1.0,75.0,31156.0,102.0,2,2,22,4.0
2DmRXiyn03tOqKgEJXlaiJ,Oh my god,(G)I-DLE,0.31735519287893343,0.0358,0.794,0.762,1.41e-06,0.191,0.8485158648925281,0.0392,0.3705391726488663,0.48200000000000004,4.0,0.0,73.0,33442.0,72.5,1,2,12,3.0
2Dp2LRrY71XIfLe3co2Qnh,This I Promise You,*NSYNC,0.4931354635292042,0.3670000000000001,0.55,0.581,0.0,0.122,0.7368270214943704,0.0325,0.7321244125393791,0.475,2.0,1.0,63.0,26267.0,146.0,3,3,33,6.0
2DpCdPMg1BADE4HDnxt3Rd,"Sit Still, Look Pretty",Daya,0.3301114973213766,0.122,0.655,0.787,3.11e-06,0.17800000000000002,0.8687410440122824,0.264,0.8342392707741568,0.5539999999999999,2.0,1.0,60.0,22501.0,175.0,4,4,44,8.0
2E124GmJRnBJuXbTb4cPUB,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.2843372237387606,0.08800000000000001,0.9309999999999999,0.387,0.0,0.136,0.6191606960081882,0.41200000000000003,0.4738805970149253,0.376,1.0,1.0,4.0,29360.0,127.0,2,3,23,5.0
2EGJB8bDbbxtvSgJQLwqK7,Then,Anne-Marie,0.3546713947895712,0.441,0.5429999999999999,0.541,0.0,0.106,0.7814124872057318,0.12300000000000001,0.3856323916748438,0.37799999999999995,2.0,0.0,50.0,20496.0,192.0,4,4,44,8.0
2Eeur20xVqfUoM3Q7EFPFt,the last great american dynasty,Taylor Swift,0.3878217406739581,0.467,0.6859999999999999,0.662,0.0023,0.109,0.6446264073694983,0.0413,0.6155425295666992,0.706,7.0,1.0,83.0,48314.0,65.0,1,1,11,2.0
